年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,偏差値
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,医療・福祉,48.0
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,買物・飲食,46.7
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,住宅環境,64.0
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,移動・交通,43.8
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,遊び・娯楽,42.7
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,子育て,45.2
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,初等・中等教育,58.3
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,地域行政,46.5
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,デジタル生活,34.7
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,公共空間,43.5
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,都市景観,46.2
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,事故・犯罪,49.9
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,自然景観,41.6
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,自然の恵み,57.8
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,環境共生,57.0
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,自然災害,51.0
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,地域の人間関係,地域とのつながり,52.9
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,地域の人間関係,多様性と寛容性,48.1
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,自己効力感,78.9
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,健康状態,56.4
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,文化・芸術,59.5
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,教育機会の豊かさ,44.5
