年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,偏差値
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,医療・福祉,50.3
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,買物・飲食,48.0
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,住宅環境,45.8
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,移動・交通,50.4
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,遊び・娯楽,49.6
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,子育て,49.0
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,初等・中等教育,50.8
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,地域行政,46.9
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,デジタル生活,60.6
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,公共空間,48.0
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,都市景観,44.6
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,事故・犯罪,52.4
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,自然景観,48.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,自然の恵み,47.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,環境共生,50.1
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,自然災害,48.8
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,地域の人間関係,地域とのつながり,46.0
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,地域の人間関係,多様性と寛容性,48.4
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,自己効力感,36.4
