年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,偏差値
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,医療・福祉,58.4
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,買物・飲食,47.6
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,住宅環境,
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,移動・交通,36.7
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,遊び・娯楽,76.5
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,子育て,47.4
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,初等・中等教育,54.1
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,地域行政,51.2
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,デジタル生活,36.3
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,公共空間,37.4
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,都市景観,46.2
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,事故・犯罪,64.8
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,自然景観,41.6
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,自然の恵み,51.5
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,環境共生,48.2
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,自然災害,46.4
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,地域の人間関係,地域とのつながり,58.5
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,地域の人間関係,多様性と寛容性,47.4
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,自分らしい生き方,自己効力感,80.0
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,自分らしい生き方,健康状態,44.1
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,自分らしい生き方,文化・芸術,45.5
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,自分らしい生き方,教育機会の豊かさ,48.7
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,自分らしい生き方,雇用・所得,62.9
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,自分らしい生き方,事業創造,52.6
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,医療施設徒歩圏人口カバー率,42.4
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,医療施設徒歩圏平均人口密度,60.1
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,人口あたり国民健康保険者医療費,66.4
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,人口あたり後期高齢医療費,68.5
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,特定健診実施率,80.0
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,福祉施設徒歩圏人口カバー率,26.0
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,福祉施設徒歩圏平均人口密度,61.5
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,人口あたり児童福祉施設数,48.2
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,人口あたり障害者施設数,
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,人口あたり認知症サポーターメイト・サポーター数,72.5
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,商業施設徒歩圏人口カバー率,45.1
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,商業施設徒歩圏平均人口密度,61.4
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,可住地面積あたり飲食店数,45.2
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,人口あたり飲食店数,38.6
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,住宅当たり延べ面積,
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,平均価格（住宅地）,
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,専用住宅面積あたり家賃,
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,一戸建の持ち家の割合,
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,駅・バス停留所徒歩圏人口カバー率,20.0
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,駅・バス停徒歩圏人口密度,61.7
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,人口あたり小型車走行キロ,20.0
2023年度版(令和5年度版),全国調査,"秋田県 大潟村",客観データ,生活環境,通勤通学に自家用車等を用いない割合,45.0
