年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,偏差値
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,医療・福祉,52.4
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,買物・飲食,48.2
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,住宅環境,50.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,移動・交通,50.7
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,遊び・娯楽,64.3
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,子育て,55.6
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,初等・中等教育,59.2
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,地域行政,45.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,デジタル生活,42.0
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,公共空間,47.4
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,都市景観,46.2
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,事故・犯罪,50.6
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,自然景観,54.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,自然の恵み,59.5
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,環境共生,46.6
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,自然災害,39.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,地域の人間関係,地域とのつながり,46.8
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,地域の人間関係,多様性と寛容性,41.2
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,自己効力感,75.8
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,健康状態,30.7
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,文化・芸術,45.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,教育機会の豊かさ,45.2
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,雇用・所得,50.6
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,事業創造,44.8
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,医療施設徒歩圏人口カバー率,34.8
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,医療施設徒歩圏平均人口密度,59.6
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,人口あたり国民健康保険者医療費,50.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,人口あたり後期高齢医療費,31.5
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,特定健診実施率,47.4
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,福祉施設徒歩圏人口カバー率,49.4
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,福祉施設徒歩圏平均人口密度,59.5
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,人口あたり児童福祉施設数,71.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,人口あたり障害者施設数,54.0
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,人口あたり認知症サポーターメイト・サポーター数,65.0
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,商業施設徒歩圏人口カバー率,24.1
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,商業施設徒歩圏平均人口密度,60.5
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,可住地面積あたり飲食店数,46.3
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,人口あたり飲食店数,61.8
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,住宅当たり延べ面積,43.3
