,西暦,全国_15歳以上人口,全国_労働力人口総数,全国_労働力人口就業者,全国_労働力人口完全失業者,全国_非労働力人口,全国_労働力人口比率,全国_完全失業率,広島県_15歳以上人口,広島県_労働力人口総数,広島県_労働力人口就業者,広島県_労働力人口完全失業者,広島県_非労働力人口,広島県_労働力人口比率,広島県_完全失業率
5,1997,10661,6787,6557,230,3863,63.7,3.4,2430,1530,1486,45,899,62.96296296296296,2.9
6,1998,10728,6793,6514,279,3924,63.3,4.1,2439,1528,1474,54,910,62.64862648626486,3.5
7,1999,10783,6779,6462,317,3989,62.9,4.7,2449,1519,1461,58,928,62.0253164556962,3.8
8,2000,10836,6766,6446,320,4057,62.4,4.7,2455,1501,1441,61,950,61.140529531568234,4.1
9,2001,10886,6752,6412,340,4125,62.0,5.0,2461,1497,1432,66,963,60.82893132872817,4.4
10,2002,10927,6689,6330,359,4229,61.2,5.4,2462,1482,1416,66,977,60.19496344435419,4.5
11,2003,10962,6666,6316,350,4285,60.8,5.3,2466,1478,1412,66,984,59.93511759935117,4.5
12,2004,10990,6642,6329,313,4336,60.4,4.7,2470,1470,1408,62,999,59.51417004048582,4.2
13,2005,11008,6651,6356,294,4346,60.4,4.4,2472,1472,1416,55,998,59.54692556634305,3.7
14,2006,11030,6664,6389,275,4358,60.4,4.1,2473,1482,1432,51,990,59.92721391023049,3.4
15,2007,11066,6684,6427,257,4375,60.4,3.9,2474,1475,1426,49,998,59.620048504446245,3.3
16,2008,11086,6674,6409,265,4407,60.2,4.0,2475,1463,1411,53,1011,59.111111111111114,3.6
17,2009,11099,6650,6314,336,4446,59.9,5.1,2474,1464,1401,64,1009,59.17542441390461,4.4
18,2010,11111,6632,6298,334,4473,59.6,5.1,2473,1455,1395,60,1017,58.835422563687835,4.1
19,2011,11117,6596,6293,302,4518,59.3,4.6,2473,1442,1389,52,1030,58.30974524868581,3.6
20,2012,11110,6565,6280,285,4543,59.1,4.3,2471,1440,1388,52,1030,58.27600161877782,3.6
21,2013,11107,6593,6326,265,4510,59.3,4.0,2469,1441,1389,52,1027,58.36371000405022,3.6
22,2014,11109,6609,6371,236,4494,59.4,3.6,2468,1436,1390,46,1031,58.18476499189627,3.2
23,2015,11110,6625,6402,222,4479,59.6,3.4,2467,1445,1401,44,1021,58.57316578840697,3.0
24,2016,11115,6678,6470,208,4430,60.0,3.1,2466,1456,1416,40,1009,59.042984590429846,2.7
25,2017,11118,6732,6542,190,4379,60.5,2.8,2464,1466,1431,35,996,59.496753246753244,2.4
26,2018,11116,6849,6682,167,4258,61.5,2.4,2458,1473,1439,35,984,59.92676973148902,2.4
27,2019,11112,6912,6750,162,4191,62.1,2.4,2451,1481,1447,34,969,60.424316605467155,2.3
28,2020,11108,6902,6710,192,4197,62.0,2.8,2446,1486,1451,35,959,60.752248569092394,2.4
29,2021,11087,6907,6713,195,4171,62.1,2.8,2437,1483,1448,35,952,60.85350841198195,2.4
30,2022,11038,6902,6723,179,4128,62.5,2.6,2419,1477,1445,32,941,61.058288548987186,2.2
31,2023,11017,6925,6747,178,4084,62.9,2.6,2408,1478,1448,30,927,61.37873754152824,2.0
