,総計,移動の主因者_総数,移動の主因者_就職,移動の主因者_転勤,移動の主因者_転業・転職,移動の主因者_退職・廃業,移動の主因者_入学・転校,移動の主因者_通勤・通学の便,移動の主因者_結婚・離婚・養子縁組,移動の主因者_子育て環境上,移動の主因者_介護,移動の主因者_住宅事情,移動の主因者_その他,移動の主因者_不詳,主因者に伴う者
 　0～4歳,2388.991359687834,69.48306777535188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.34895712361221,0.0,2.043619640451526,38.828773168579,12.261717842709158,2319.508291912482
　 5～9歳,1465.2752822037444,51.09049101128815,0.0,0.0,0.0,0.0,24.52343568541831,0.0,4.087239280903052,10.21809820225763,0.0,0.0,6.130858921354578,6.130858921354579,1414.1847911924563
 10～14歳,792.9244204951922,110.3554605843824,0.0,0.0,0.0,0.0,73.57030705625493,4.087239280903052,0.0,6.130858921354578,0.0,0.0,16.34895712361221,10.21809820225763,682.5689599108098
 15～19歳,3198.264737306639,2906.0271287220708,590.606076090491,222.7545408092163,30.65429460677289,32.69791424722442,1561.325405304966,65.39582849444884,18.392576764063733,16.34895712361221,0.0,24.523435685418313,259.5396943373438,83.78840525851257,292.23760858456825
 20～24歳,8922.443350211364,8644.511079109956,3829.74320620616,1551.1073071027083,692.7870581130674,418.9420262925628,467.9888976633995,132.83527662934918,241.14711757328007,24.523435685418313,8.174478561806104,141.00975519115528,776.5754633715799,359.67705671946857,277.93227110140754
 25～29歳,6993.266409625122,6275.955915826637,917.5852185627352,2160.105959957263,1066.7694523156968,359.67705671946857,34.74153388767594,36.785153528127466,692.7870581130674,71.52668741580341,4.087239280903052,110.3554605843824,574.2571189668789,247.27797649463466,717.3104937984856
 30～34歳,4733.023087285735,3919.6624703860275,380.11325312398384,1606.2850373948995,594.6933153713941,147.14061411250987,16.34895712361221,24.52343568541831,355.58981743856555,85.8320248989641,16.34895712361221,110.3554605843824,367.85153528127466,214.58006224741027,813.3606168997075
 35～39歳,3562.0290333070097,2877.4164537557485,214.5800622474102,1279.3058949226552,361.7206763599201,102.18098202257632,24.52343568541831,16.34895712361221,212.5364426069587,77.657546337158,28.610674966321362,96.05012310122173,312.67380498908346,151.22785339341291,684.6125795512612
 40～44歳,2742.5375574859486,2276.5922794630005,157.3587123147675,1076.9875505179543,253.40883541598922,44.95963208993357,30.65429460677289,14.305337483160681,110.3554605843824,49.04687137083663,36.785153528127466,69.48306777535188,326.9791424722442,106.26822130347936,465.94527802294795
 45～49歳,2538.1755934407956,2143.757002833651,175.75128907883123,987.0682863380871,216.62368188786175,71.52668741580341,16.34895712361221,6.130858921354577,91.96288382031867,34.74153388767594,57.221349932642724,91.96288382031867,273.8450318205045,120.57355878664005,394.41859060714455
 50～54歳,2141.713383193199,1782.0363264737307,108.31184094393087,801.0988990569982,161.44595159567055,77.657546337158,16.34895712361221,12.261717842709155,65.39582849444884,16.34895712361221,79.7011659776095,85.8320248989641,245.23435685418312,112.39908022483394,359.6770567194686
 55～59歳,1440.751846518326,1246.607980675431,63.3522088539973,584.4752171691364,75.61392669670647,69.48306777535188,4.087239280903052,4.087239280903052,22.479816044966785,2.043619640451526,98.09374274167324,71.52668741580341,183.92576764063733,67.43944813490036,194.14386584289497
 60～64歳,923.7160774840899,735.7030705625494,34.74153388767594,171.6640497979282,49.04687137083663,130.79165698889767,2.043619640451526,2.043619640451526,16.34895712361221,2.043619640451526,79.7011659776095,55.1777302921912,147.1406141125099,44.95963208993357,188.0130069215404
 65歳以上,2149.8878617550054,1871.9555906535977,32.69791424722442,71.52668741580341,24.523435685418313,161.44595159567055,2.043619640451526,6.130858921354577,12.261717842709155,8.174478561806104,476.1633762252056,212.5364426069587,698.9179170344219,165.5331908765736,277.93227110140754
