,5歳階級別,総計,男,女,転入_県内_男,転入_県内_女,転入_県外_男,転入_県外_女,転出_県内_男,転出_県内_女,転出_県外_男,転出_県外_女,死亡_男,死亡_女,差引増減_男,差引増減_女
0,0～4歳,348,174,174,7,4,3,3,6,9,0,0,1,0,30,19
1,5～9歳,485,259,226,2,5,3,2,1,1,1,2,0,0,3,4
2,10～14歳,648,333,315,4,3,1,2,4,4,0,3,0,0,1,-2
3,15～19歳,803,423,380,9,6,38,27,16,9,18,17,0,0,13,7
4,20～24歳,555,307,248,21,9,24,14,34,48,43,39,0,0,-32,-64
5,25～29歳,449,253,196,12,21,13,10,20,17,22,16,0,0,-17,-2
6,30～34歳,615,351,264,18,11,11,8,17,15,9,3,0,0,3,1
7,35～39歳,735,384,351,17,4,4,8,16,14,2,7,2,0,1,-9
8,40～44歳,955,486,469,7,5,4,7,21,9,3,5,0,0,-13,-2
9,45～49歳,1257,639,618,9,11,2,2,9,13,5,2,0,2,-3,-4
10,50～54歳,1279,641,638,7,7,0,1,6,11,1,1,3,3,-3,-7
11,55～59歳,1323,659,664,5,7,2,2,11,12,0,3,3,1,-7,-7
12,60～64歳,1515,735,780,9,4,5,1,10,1,3,1,10,3,-9,0
13,65歳以上,9226,3788,5438,20,32,1,3,24,37,6,3,218,242,-227,-247
